item_name,quantity,price
rope,15,1100
chicken wing,45,350
steak,15,900
potato,75,600
door,1,200000
bread,100,500
egg,3000,100
chicken breast,25,450
wire,25,450
pizza,3,1000
iphone,3,20000
cereal,50,1200
wheat germ,12,1500
pretzels,55,3200
granola,22,455
nuts,123,444556
tuna,34,123
apples,34,55
cabbage,34,556
soup,34,1123
sauerkraut,3,4444
pineapple,3,5000
greens,33,556
olives,5,100
soda,3,534
tea,231,443
bagels,234,544
cucumbers,334,553
carrots,314,555
celery,123,445
romaine,123,55
onions,153,554
tangerines,13,5511
oranges,423,3466
grapes,346,44444
kiwi,4,34444
berries,21,4414
peaches,21,33233
peas,34,553
corn,33,34342
edamame,13,5553
chickpeas,11,553
salsa,2,4
